Enemy,Move,Effects,Intent
Living Fog,Bloat,"Summon N Gas Bombs; (N = # times Bloat has been used + 1, capped to 5)",summon
Living Fog,Super Gas Blast,Damage 8 (9),attack
Gas Bomb,Explode,Damage 8 (9); Dies,attack
Living Shield,Shield Slam,Damage 6,attack
Living Shield,Smash,Damage 16 (18); Gain 3 Strength,"attack, buff"
Louse Progenitor,Web Cannon,Damage 9 (10); Apply 2 Frail,"attack, debuff"
Louse Progenitor,Curl and Grow,Block 14 (18); Gain 5 Strength,"block, buff"
Louse Progenitor,Pounce,Damage 14 (16),attack
Mawler,Claw,Damage 4x2 (5x2),multi_attack
Mawler,Roar,Apply 3 Vulnerable,debuff
Mawler,Rip & Tear,Damage 14 (16),attack
Myte,Toxic,Add 2 Toxic to Hand,add_statuses
Myte,Bite,Damage 13 (15),attack
Myte,Suck,Damage 4 (6); Gain 2 (3) Strength,"attack, buff"
Nibbit,Butt,Damage 12 (13),attack
Nibbit,Slice,Damage 6; Block 5,"attack, block"
Nibbit,Hiss,Strength 2,buff
Ovicopter,Lay Eggs,Summon up to 3 Tough Eggs,summon
Ovicopter,Smash,Damage 16 (17),attack
Ovicopter,Tenderizer,Damage 7 (8); Apply 2 Vulnerable,"attack, debuff"
Ovicopter,Nutritional Paste,Gain 3 (4) Strength,buff
Tough Egg,Hatch,Hatches into Hatchling.,buff
Hatchling,Nibble,Damage 4 (5),attack
Owl Magistrate,Magistrate Scrutiny,Damage 16 (17),attack
Owl Magistrate,Peck Assault,Damage 4x6,multi_attack
Owl Magistrate,Judicial Flight,Gain Soar,buff
Owl Magistrate,Verdict,Damage 33 (36); Apply 4 Vulnerable; Lose Soar,"attack, debuff"
Punch Construct,Ready,Block 10,block
Punch Construct,Strong Punch,Damage 14 (16),attack
Punch Construct,Fast Punch,Damage 5x2 (6x2); Apply 1 Weak,"multi_attack, debuff"
Ruby Raider (Assassin),Killshot,Damage 11 (12),attack
Ruby Raider (Axe),Swing,Damage 5 (6); Block 5 (6),"attack, block"
Ruby Raider (Axe),Big Swing,Damage 12 (13),attack
Ruby Raider (Brute),Beat,Damage 7 (8),attack
Ruby Raider (Brute),Roar,Gain 3 Strength,buff
Ruby Raider (Crossbow),Fire,Damage 14 (16),attack
Ruby Raider (Crossbow),Reload,Block 3,block
Ruby Raider (Tracker),Track,Apply 2 Frail,debuff
Ruby Raider (Tracker),Hounds,Damage 1x8 (1x9),multi_attack
Scroll of Biting,Chomp,Damage 14 (16),attack
Scroll of Biting,Chew,Damage 5x2 (6x2),multi_attack
Scroll of Biting,More Teeth,Gain 2 Strength,buff
Seapunk,Sea Kick,Damage 11 (12),attack
Seapunk,Spinning Kick,Damage 2x4,multi_attack
Seapunk,Bubble Burp,Block 7 (8); Gain 1 (2) Strength,"block, buff"
Sewer Clam,Pressurize,Strength 4,buff
Sewer Clam,Jet,Damage 10 (11),attack
Shrinker Beetle,Shrinker,Apply Shrink,debuff
Shrinker Beetle,Chomp,Damage 7 (8),attack
Shrinker Beetle,Stomp,Damage 13 (14),attack
Slimed Berserker,Vomit Ichor,Add 10 Slimed to discard,add_statuses
Slimed Berserker,Leeching Hug,Apply 3 Weak; Gain 3 Strength,"buff, debuff"
Slimed Berserker,Smother,Damage 30 (33),attack
Slimed Berserker,Furious Pummeling,Damage 4x4 (5x4),multi_attack
Slithering Strangler,Constrict,Apply 3 Constrict,affliction
Slithering Strangler,Thwack,Damage 7 (8); Block 5,"attack, block"
Slithering Strangler,Lash,Damage 12 (13),attack
Sludge Spinner,Oil Spray,Damage 8 (9); Weak 1,attack
Sludge Spinner,Slam,Damage 11 (12),attack
Sludge Spinner,Rage,Damage 6 (7); Strength 3,"attack, buff"
Slumbering Beetle,Sleep,Passes Turn,sleeping
Slumbering Beetle,Roll Out,Damage 16 (18); Gain 2 Strength,"attack, buff"
Snapping Jaxfruit,Energy Orb,Damage 3 (4); Gain 2 Strength,"attack, buff"
Spiny Toad,Protruding Spikes,Gain 5 Thorns,buff
Spiny Toad,Spike Explosion,Damage 23 (25); Lose 5 Thorns,attack
Spiny Toad,Tongue Lash,Damage 17 (19),attack
The Lost,Debilitating Smog,Apply -2 Strength; Gain 2 Strength,"buff, debuff"
The Lost,Eye Lasers,Damage 4x2 (5x2),multi_attack
The Forgotten,Miasma,Apply -2 Dexterity; Block 8; Gain 2 Dexterity,"block, buff, debuff"
The Forgotten,Dread,Damage 15 (17),attack
The Obscura,Illusion,Summon 1 Parafright,summon
The Obscura,Piercing Gaze,Damage 10 (11),attack
The Obscura,Wail,Allies gain 3 Strength,buff
The Obscura,Hardening Strike,Damage 6 (7); Block 6 (7),"attack, block"
Parafright,Slam,Damage 16 (17),attack
Thieving Hopper,Thievery,"Damage 17 (19); Steal 1 card and gain Swipe; (Stolen card is taken from draw or discard pile. Chooses a random card with priorities: 1. non-imbued uncommon card, 2. non-imbued common, rare, or event card, 3. non-imbued basic or quest card, 4. imbued or ancient card, 5. curse or anything else); (Warning: Game softlocks if Thieving Hopper cannot find a valid target to steal)","attack, affliction"
Thieving Hopper,Nab,Damage 14 (16),attack
Thieving Hopper,Hat Trick,Damage 21 (23),attack
Thieving Hopper,Flutter,Gain Flutter 5,buff
Thieving Hopper,Escape,Escape from the combat,escape
Toadpole,Spike Spit,Lose 2 Thorns; Damage 3x3 (4x3),multi_attack
Toadpole,Whirl,Damage 7 (8),attack
Toadpole,Spiken,Gain 2 Thorns,buff
Tunneler,Bite,Damage 13 (15),attack
Tunneler,Burrow,Gain Burrowed; Block 32 (37),"block, buff"
Tunneler,Below,Damage 23 (26),attack
Turret Operator,Unload,Damage 3x5 (4x5),multi_attack
Turret Operator,Reload,Gain 1 Strength,buff
Twig Slime (Small),Tackle,Damage 4 (5),attack
Twig Slime (Medium),Clump Shot,Damage 11 (12),attack
Twig Slime (Medium),Sticky Shot,Add 1 Slimed to Discard,add_statuses
Two-Tailed Rat,Scratch,Damage 8 (9),attack
Two-Tailed Rat,Disease Bite,Damage 6 (7),attack
Two-Tailed Rat,Screech,Apply 1 Frail,debuff
Two-Tailed Rat,Call for Backup,Summon Two-Tailed Rat; (with random intent),summon
Vine Shambler,Grasping Vines,Damage 8 (9); Apply 1 Tangled,"attack, debuff"
Vine Shambler,Swipe,Damage 6x2 (7x2),multi_attack
Vine Shambler,Chomp,Damage 16 (18),attack
Wriggler,Nasty Bite,Damage 6 (7),attack
Wriggler,Wriggle,Add 1 Infection to Discard; Gain 2 Strength,"buff, add_statuses"
Bygone Effigy,Sleep,Pass Turn,sleeping
Bygone Effigy,Wake,Gain 10 Strength,buff
Bygone Effigy,Slash,Damage 15 (17),attack
Byrdonis,Peck,Damage 3x3 (4x3),multi_attack
Byrdonis,Swoop,Damage 16 (18),attack
Decimillipede,Writhe,Damage 5x2 (6x2),multi_attack
Decimillipede,Bulk,Damage 6 (7); Gain 2 Strength,"attack, buff"
Decimillipede,Constrict,Damage 8 (9); Apply 1 Weak,"attack, debuff"
Entomancer,Pheromone Spit,If less than 3 Personal Hive: Gain 1 Personal Hive and 1 Strength; If at 3 Personal Hive: Gain 2 Strength,buff
Entomancer,Bees,Damage 3x7 (3x8),multi_attack
Entomancer,Spear,Damage 18 (20),attack
Infested Prism,Jab,Damage 22 (24),attack
Infested Prism,Radiate,Damage 16 (18); Block 16 (18),"attack, block"
Infested Prism,Whirlwind,Damage 9x3 (10x3),multi_attack
Infested Prism,Pulsate,Block 20 (22); Gain 4 (5) Strength,"buff, block"
Flail Knight,War Chant,Gain 3 Strength,buff
Flail Knight,Flail,Damage 9x2 (10x2),multi_attack
Flail Knight,Ram,Damage 15 (17),attack
Spectral Knight,Hex,Apply Hex,debuff
Spectral Knight,Soul Slash,Damage 15 (17),attack
Spectral Knight,Soul Flame,Damage 3x3 (4x3),multi_attack
Magi Knight,Power Shield,Damage 6 (7); Block 5 (9),"attack, block"
Magi Knight,Dampen,Apply Dampen,debuff
Magi Knight,Prep,Block 5 (9),block
Magi Knight,Magic Bomb,Damage 35 (40),attack
Magi Knight,Spear,Damage 10 (11),attack
Mecha Knight,Charge,Damage 25 (30),attack
Mecha Knight,Flamethrower,Add 4 Burns to Hand,add_statuses
Mecha Knight,Windup,Block 15; Strength 5,"block, buff"
Mecha Knight,Heavy Cleave,Damage 35 (40),attack
Phantasmal Gardener,Bite,Damage 5,attack
Phantasmal Gardener,Lash,Damage 7,attack
Phantasmal Gardener,Flail,Damage 1x3,multi_attack
Phantasmal Gardener,Enlarge,Strength 2 (3),buff
Phrog Parasite,Infect,Add 3 Infection to Discard,add_statuses
Phrog Parasite,Lash,Damage 4x4 (5x4),multi_attack
Skulking Colony,Inertia,Block 10 (13); Gain 3 Strength,"block, buff"
Skulking Colony,Zoom,Damage 16 (17),attack
Skulking Colony,Super Crab,Damage 6x2 (7x2),multi_attack
Skulking Colony,Smash,Damage 9 (11); Add 4 Dazed to Discard,"attack, add_statuses"
Soul Nexus,Soul Burn,Damage 29 (31),attack
Soul Nexus,Maelstrom,Damage 6x4 (7x4),multi_attack
Soul Nexus,Drain Life,Damage 18 (19); Apply 2 Vulnerable; Apply 2 Weak,"attack, debuff"
Terror Eel,Crash,Damage 17 (19),attack
Terror Eel,Thrash,Damage 3x3 (4x3); Vigor 7,multi_attack
Terror Eel,Terror,Apply 99 Vulnerable,debuff
Ceremonial Beast,Stamp,Gains Plow 150 (160),buff
Ceremonial Beast,Plow,Damage 18 (20); Gains 2 Strength,attack
Ceremonial Beast,Beast Cry,Apply Ringing,debuff
Ceremonial Beast,Stomp,Damage 15 (17),attack
Ceremonial Beast,Crush,Damage 17 (19); Gains 3 (4) Strength,attack
Doormaker, Stunned, Stunned for 1 turn, stun
Doormaker, Beam, Damage 31 (34),attack
Doormaker, Get Back In, Damage 40 (45); Gains 4 Strength; Becomes Door,"attack,buff,escape"
Door,Dramatic Open,Damage 25 (28),attack
Door,Door Slam,Damage 15x2,multi_attack
Door,Enforce,Damage 20; Gain 3 (4) Strength,"attack, buff"
Crusher,Thrash,Damage 12 (14),attack
Crusher,Enlarging Strike,Damage 4,attack
Crusher,Bug Sting,Damage 6x2 (7x2); Apply 2 Weak; Apply 2 Frail,"multi_attack, debuff"
Crusher,Adapt,Gain 2 Strength,buff
Crusher,Guarded Strike,Damage 12 (14); Block 18,"attack, block"
Rocket,Targeting Reticle,Damage 3 (4),attack
Rocket,Precision Beam,Damage 18 (20),attack
Rocket,Charge Up,Strength 2,buff
Rocket,Laser,Damage 31 (35),attack
Rocket,Recharge,Pass turn,sleeping
Knowledge Demon,Curse of Knowledge,Player must choose one of two debuffs:; 1st choice: Disentegration 6 or Mind Rot; 2nd choice: Disentegration 7 or Sloth; 3rd Choice: Disentegration 8 or Waste Away,unknown
Knowledge Demon,Slap,Damage 17 (18),attack
Knowledge Demon,Knowledge Overwhelming,Damage 8x3 (9x3),multi_attack
Knowledge Demon,Ponder,Damage 11 (13); Heal 30*; Gain 2 (3) Strength,"attack, buff"
Lagavulin Matriarch,Slash,Damage 19 (21),attack
Lagavulin Matriarch,Disembowel,Damage 9x2 (10x2),multi_attack
Lagavulin Matriarch,Slash 2,Damage 12 (14); Block 12 (14),"attack, block"
Lagavulin Matriarch,Soul Siphon,Apply -2 Strength; Apply -2 Dexterity; Gain 2 Strength,"buff, debuff"
Queen,Puppet Strings,Apply Chains of Binding 3,affliction
Queen,You Are Mine!,Apply 99 Frail; Apply 99 Weak; Apply 99 Vulnerable,debuff
Queen,Burn Bright For Me,Give allies 1 Strength; Block 20,block
Queen,Off With Your Head,Damage 3x5 (4x5),multi_attack
Queen,Execution,Damage 15 (18),attack
Queen,Enrage,Gain 2 Strength,buff
Torch Head Amalgam,Tackle,Damage 18 (19),attack
Torch Head Amalgam,Soul Beam,Damage 8x3,multi_attack
Torch Head Amalgam,Weak Tackle,Damage 14 (15),attack
Soul Fysh,Beckon,Shuffle 1 Beckon into draw; Shuffle 1 Beckon into discard,add_statuses
Soul Fysh,De-Gas,Damage 16 (17),attack
Soul Fysh,Gaze,Damage 7 (8); Shuffle 1 Beckon into discard,"attack, add_statuses"
Soul Fysh,Fade,Gain 2* Intangible,buff
Soul Fysh,Scream,Damage 11 (12); Apply 3 Vulnerable,"attack, debuff"
Test Subject Stage 1,Bite,Damage 20 (22),attack
Test Subject Stage 1,Skull Bash,Damage 14 (16); Apply 1 Vulnerable,"attack, debuff"
Test Subject Stage 2,Multi-Claw,Damage 10xN (11xN); (N = 3 + # times Multi-Claw has been used),attack
Test Subject Stage 2,Pounce,Damage 30 (32),attack
Test Subject Stage 3,Lacerate,Damage 10x3 (11x3),multi_attack
Test Subject Stage 3,Big Pounce,Damage 45,attack
Test Subject Stage 3,Burning Growl,Shuffle 3 (5) Burns into discard; Gain 2 (3) Strength,buff
The Insatiable,Liquify Ground,Gain Sandpit 4; Shuffle 3 Frantic Escapes into draw; Shuffle 3 Frantic Escapes into discard,"buff, add_statuses"
The Insatiable,Thrash,Damage 8x2 (9x2),multi_attack
The Insatiable,Lunging Bite,Damage 28 (31),attack
The Insatiable,Salivate,Gain 2 (3) Strength,buff
Kin Priest,Orb of Frailty,Damage 8 (9); Apply 1 Frail,"attack, debuff"
Kin Priest,Orb of Weakness,Damage 8 (9); Apply 1 Weak,"attack, debuff"
Kin Priest,Beam,Damage 3x3,multi_attack
Kin Priest,Ritual,Gain 2 (3) Strength,buff
Kin Follower,Quick Slash,Damage 5,attack
Kin Follower,Boomerang,Damage 2x2,multi_attack
Kin Follower,Power Dance,Gain 2 (3) Strength,buff
Vantom,Ink Blot,Damage 7 (8),attack
Vantom,Inky Lance,Damage 6x2 (7x2),multi_attack
Vantom,Dismember,Damage 27 (30); Add 3 Wounds into discard,"attack, add_statuses"
Vantom,Prepare,Gain 2 Strength,buff
Waterfall Giant,Pressurize,Gain 15 (20) Steam Eruption,buff
Waterfall Giant,Stomp,Damage 15 (16); Apply 1 Weak; Gain 3 Steam Eruption,"attack, debuff"
Waterfall Giant,Ram,Damage 10 (11); Gain 3 Steam Eruption,"attack, buff"
Waterfall Giant,Siphon,Heal 15*; Gain 3 Steam Eruption,"heal, buff"
Waterfall Giant,Pressure Gun,Damage 20 (23) + 5*N; N = # of times this move was used; Gain 3 Steam Eruption,attack
Waterfall Giant,Pressure Up,Damage 13 (14); Gain 3 Steam Eruption,attack
