Key,Name,HP,Pattern,Notes,Powers,StartsWith,References,HpScalePlayerCountOnly
ovicopter,Ovicopter,124 - 130 (126 - 132),"Opens with <Lay Eggs> → <Smash> → <Tenderizer>.
If allies ≥ 3 after <Tenderizer>: <Nutritional Paste> → <Smash> → <Tenderizer>.
If allies < 3 after <Tenderizer>: <Lay Eggs> → <Smash> → <Tenderizer>.",,,,,
tough-egg,Tough Egg,14 - 18 (15 - 19),Always uses <Hatch>.,,hatch; minion,{hatch} 1,,
hatchling,Hatchling,19 - 22 (20 - 23),Always uses <Nibble>.,,minion,,,
owl-magistrate,Owl Magistrate,231 (247),Cycles <Magistrate Scrutiny> → <Peck Assault> → <Judicial Flight> → <Verdict>.,,soar,,,
punch-construct,Punch Construct,55 (60),Cycles <Ready> → <Fast Punch> → <Strong Punch>.,"[info] Punch-Off event: 1st starts <Fast Punch>, 2nd starts <Ready>.",artifact,{artifact} 1,,
ruby-raider-assassin,Ruby Raider (Assassin),18 - 23 (19 - 24),Always uses <Killshot>.,,,,,
ruby-raider-axe,Ruby Raider (Axe),20 - 22 (21 - 23),Cycles <Swing> → <Swing> → <Big Swing>.,,,,,
ruby-raider-brute,Ruby Raider (Brute),30 - 33 (31 - 34),Cycles <Beat> → <Roar>.,,,,,
ruby-raider-crossbow,Ruby Raider (Crossbow),18 - 21 (19 - 22),Cycles <Reload> → <Fire>.,,,,,
ruby-raider-tracker,Ruby Raider (Tracker),21 - 25 (22 - 26),"Opens with <Track>, then always uses <Hounds>.",,,,,
scroll-of-biting,Scroll of Biting,30 - 37 (33 - 39),Cycles <Chomp> → <More Teeth> → <Chew> (50% chance to repeat <Chew> once).,"[info] 1st/2nd/3rd evenly distributed between <Chomp>, <Chew>, <More Teeth>. 4th starts <More Teeth>.",paper_cuts,{paper_cuts} 2,,
seapunk,Seapunk,44 - 46 (47 - 49),Cycles <Sea Kick> → <Spinning Kick> → <Bubble Burp>.,,,,,
sewer-clam,Sewer Clam,56 (58),"Opens with <Jet>.
Then cycles <Pressurize> → <Jet>.",,plating,{plating} 8 (9),,
shrinker-beetle,Shrinker Beetle,38 - 40 (40 - 42),"Opens with <Shrinker>.
Then cycles <Chomp> → <Stomp>.",,shrink,,,
slimed-berserker,Slimed Berserker,261 (281),Cycles <Vomit Ichor> → <Furious Pummeling> → <Leeching Hug> → <Smother>.,,,,,
slithering-strangler,Slithering Strangler,53 - 55 (54 - 56),Cycles <Constrict> → <Thwack> or <Lash> (50/50).,,constrict,,,
sludge-spinner,Sludge Spinner,37 - 39 (41 - 42),"Opens with <Oil Spray>.
Then chooses randomly from all moves.",,,,,
slumbering-beetle,Slumbering Beetle,86 (89),"Sleeps until awakened, then always uses <Roll Out>.",,plating; slumber,{plating} 15 (18) and {slumber} 3,,
snapping-jaxfruit,Snapping Jaxfruit,31 - 33 (34 - 36),Always uses <Energy Orb>.,,,,,
spiny-toad,Spiny Toad,116 - 119 (121 - 124),Cycles <Protruding Spikes> → <Spike Explosion> → <Tongue Lash>.,,thorns,,,
the-lost,The Lost,93 (99),Cycles <Debilitating Smog> → <Eye Lasers>.,,,,,
the-forgotten,The Forgotten,106 (111),Cycles <Miasma> → <Dread>.,,,,,
the-obscura,The Obscura,123 (129),"Opens with <Illusion>.
Then chooses randomly from <Piercing Gaze>, <Wail>, <Hardening Strike>.",,,,,
parafright,Parafright,21,Always uses <Slam>.,[info] Retains Strength after reviving.,illusion;minion,{illusion},,
thieving-hopper,Thieving Hopper,79 (84),Always uses <Thievery> → <Flutter> → <Hat Trick> → <Nab> → <Escape>.,"[info] Stolen card is taken from draw or discard pile. Priorities: 1. non-imbued uncommon 2. non-imbued common/rare/event 3. non-imbued basic/quest 4. imbued or ancient 5. curse or anything else.[info] If stunned before turn 5, resumes with next move. If stunned on turn 5, tries <Escape> again.",escape_artist; flutter; swipe,{escape_artist} 5,,
toadpole,Toadpole,21 - 25 (22 - 26),Cycles <Whirl> → <Spiken> → <Spike Spit>.,"[info] Front starts <Spiken>, back starts <Whirl>.",thorns,,,
tunneler,Tunneler,87 (92),"Opens with <Bite> → <Burrow>.
While Burrowed: Always uses <Below>.
After stun: Repeats <Bite> → <Burrow>.",,burrowed,,,
turret-operator,Turret Operator,41 (51),Cycles <Unload> → <Unload> → <Reload>.,,,,,
twig-slime-small,Twig Slime (Small),7 - 11 (8 - 12),Always uses <Tackle>.,,,,,
twig-slime-medium,Twig Slime (Medium),26 - 28 (27 - 29),"Opens with <Sticky Shot> → <Clump Shot>.
Then chooses randomly from <Sticky Shot>, <Clump Shot>.",,,,,
two-tailed-rat,Two-Tailed Rat,17 - 21 (18 - 22),"Chooses randomly from <Scratch>, <Disease Bite>, and <Screech>.
If <Call for Backup> is allowed, 75% chance to use it instead.","[info]All 3 rats start evenly distributed between <Scratch>, <Disease Bite>, and <Screech>.[info]Only 1 rat can use <Call for Backup> per turn.",,,,
vine-shambler,Vine Shambler,61 (64),Cycles <Swipe> → <Grasping Vines> → <Chomp>.,,tangled,,,
wriggler,Wriggler,17 - 21 (18 - 22),Cycles <Nasty Bite> → <Wriggle>.,"[info] If spawned from Phrog Parasite, starts stunned.[info] Positions 1 & 3 start <Nasty Bite>, positions 2 & 4 start <Wriggle>.",minion,,,
bygone-effigy,Bygone Effigy,127 (132),"Opens with <Sleep> → <Wake> → <Slash>, then always uses <Slash>.",,slow,{slow},,
byrdonis,Byrdonis,81 - 84 (90),Cycles <Swoop> → <Peck>.,,territorial,{territorial} 1,,
decimillipede,Decimillipede,40 - 46 (46 - 52),"Cycles <Constrict> → <Bulk> → <Writhe>.
When killed: Revives after 1 turn with 25 HP and continues from next move.","[info] Fights as 3 segments — HP is always an even number, and segments have different max HP.[info] Segments start evenly distributed between <Writhe>, <Bulk>, and <Constrict>.[bug] Killing a segment with Doom will allow other dead segments to regenerate even if they briefly all appear dead at the same time.",reattach,{reattach},,
entomancer,Entomancer,145 (155),"Cycles <Bees> → <Spear> → <Pheromone Spit>.
After 3 stacks of Personal Hive: <Pheromone Spit> gains 2 Strength instead.",,personal_hive,{personal_hive} 1,,
infested-prism,Infested Prism,161 (171),Cycles <Jab> → <Radiate> → <Whirlwind> → <Pulsate>.,,vital_spark,{vital_spark} 2 (3),,
flail-knight,Flail Knight,101 (108),"Opens with <Ram>.
Then chooses randomly from <War Chant>, <Flail>, <Ram>.",,,,,
spectral-knight,Spectral Knight,93 (97),"Opens with <Hex> → <Soul Slash>.
Then chooses randomly from <Soul Slash>, <Soul Flame>.",,hex,,,
magi-knight,Magi Knight,82 (89),"Opens with <Power Shield> → <Dampen>.
Then cycles <Spear> → <Prep> → <Magic Bomb>.",[info] Cards can still be upgraded during combat after Magi Knight applies Dampen.,dampen,,,
mecha-knight,Mecha Knight,300 (320),"Opens with <Charge>.
Then cycles <Flamethrower> → <Windup> → <Heavy Cleave>.",,artifact,{artifact} 3,,
phantasmal-gardener,Phantasmal Gardener,26 - 31 (27 - 32),Cycles <Bite> → <Lash> → <Flail> → <Enlarge>.,"[info] 1st starts <Flail>, 2nd starts <Bite>, 3rd starts <Lash>, 4th starts <Enlarge>.",skittish,{skittish} 6 (7),,
phrog-parasite,Phrog Parasite,61 - 64 (66 - 68),Cycles <Infect> → <Lash>.,,infested,{infested} 4,,
skulking-colony,Skulking Colony,75 (80),Cycles <Zoom> → <Zoom> → <Inertia> → <Piercing Stabs>.,,hardened_shell,{hardened_shell} 20,,
soul-nexus,Soul Nexus,234 (254),"Opens with <Soul Burn>.
Then chooses randomly from <Soul Burn>, <Maelstrom>, <Drain Life>.",,,,,
terror-eel,Terror Eel,140 (150),"Phase 1:
Cycles <Crash> → <Thrash>.

Phase 2 (stunned at 75 HP):
Uses <Terror>, then cycles <Crash> → <Thrash>.",,shriek; vigor,{shriek} 75,,
ceremonial-beast,Ceremonial Beast,252 (262),"Phase 1:
Opens with <Stamp>, then always uses <Plow>.

Phase 2 (after stun):
Cycles <Beast Cry> → <Stomp> → <Crush>.",,plow; ringing,,,
aeonglass,Aeonglass,512 (535),Cycles <Ebb> → <Eye Lasers> → <Increasing Intensity>.,[info] <Increasing Intensity> {strength} gain increases by 1 each use.,artifact; withering_presence,{artifact} 3 and {withering_presence} 6,,
crusher,Crusher,209 (219),Cycles <Thrash> → <Enlarging Strike> → <Bug Sting> → <Adapt> → <Guarded Strike>.,,back_attack_left; crab_rage,{back_attack_left} and {crab_rage} 6,,
rocket,Rocket,199 (209),Cycles <Targeting Reticle> → <Precision Beam> → <Charge Up> → <Laser> → <Recharge>.,,back_attack_left; crab_rage,{back_attack_left} and {crab_rage} 6,,
knowledge-demon,Knowledge Demon,379 (399),"Phase 1:
Cycles <Curse of Knowledge> → <Slap> → <Knowledge Overwhelming> → <Ponder> (until <Curse of Knowledge> used 3 times).

Phase 2:
Cycles <Slap> → <Knowledge Overwhelming> → <Ponder>.",[info] Heal is multiplied by player count in co-op.,disintegration; mind_rot; sloth; waste_away,,,
lagavulin-matriarch,Lagavulin Matriarch,222 (233),Cycles <Slash> → <Disembowel> → <Slash 2> → <Soul Siphon>.,[info] On wakeup all Plating is removed.,plating; asleep,{plating} 12 and {asleep},,
queen,Queen,400 (419),"Opens with <Puppet Strings> → <You Are Mine!>.
While Amalgam alive: Always uses <Burn Bright For Me>.
After Amalgam dies: Cycles <Off With Your Head> → <Execution> → <Enrage>.","[info] If Amalgam dies mid-turn and intent is <Burn Bright For Me>, it becomes <Enrage> instead.",,a Torch Head Amalgam in play,chains_of_binding,
torch-head-amalgam,Torch Head Amalgam,199 (211),"Opens with <Tackle> → <Tackle>.
Then cycles <Soul Beam> → <Weak Tackle> → <Weak Tackle>.",,minion,,,
soul-fysh,Soul Fysh,211 (221),Cycles <Beckon> → <De-Gas> → <Gaze> → <Fade> → <Scream>.,[info] One of the 2 Intangible from <Fade> ticks down immediately.,,,,
test-subject-stage-1,Test Subject Stage 1,100 (111),"Cycles <Bite> → <Skull Bash>.
When killed: Revives next turn in Stage 2.",,enrage,{enrage} 3,,
test-subject-stage-2,Test Subject Stage 2,200 (212),"Always uses <Multi-Claw>.
When killed: Revives next turn in Stage 3.",,painful_stabs,{painful_stabs} 1,,
test-subject-stage-3,Test Subject Stage 3,300 (313),Cycles <Lacerate> → <Big Pounce> → <Burning Growl>.,,nemesis,{nemesis} (immediately gives 1 Intangible),,
the-insatiable,The Insatiable,321 (341),"Opens with <Liquify Ground>.
Then cycles <Thrash> → <Lunging Bite> → <Salivate> → <Thrash>.",[info] If a player is swallowed by the Sandpit effects such as Lizard Tail will not revive you.,sandpit,,,
kin-priest,Kin Priest,190 (199),Cycles <Orb of Frailty> → <Orb of Weakness> → <Beam> → <Ritual>.,,,,,
kin-follower,Kin Follower,58 - 59 (62 - 63),Cycles <Quick Slash> → <Boomerang> → <Power Dance>.,,minion,,,
vantom,Vantom,173 (183),Cycles <Ink Blot> → <Inky Lance> → <Dismember> → <Prepare>.,,slippery,{slippery} 8 (9),,
waterfall-giant,Waterfall Giant,240 (250),"Opens with <Pressurize>.
Then cycles <Stomp> → <Ram> → <Siphon> → <Pressure Gun> → <Pressure Up>.",[info] Heal is multiplied by player count in co-op.,steam_eruption,,,
