Event,Choice,Effect,Notes,Card,Enchantment,Potion,Relic,Powers
tinker_time,Accept,Create a custom card to add to your [gold]Deck[/gold].,Offered 2 of 3 random types (Attack/Skill/Power) then 2 of 3 random effects for the chosen type.,,,,,"weak,vulnerable,strangle,curious,strength,dexterity,improvement"
trial,[Merchant] Guilty,Add [red]Regret[/red] to your Deck. Obtain 2 random Relics.,,Regret,,,,
trial,[Merchant] Innocent,Add [red]Shame[/red] to your Deck. Upgrade 2 cards.,,Shame,,,,
trial,[Noble] Guilty,Heal 10 HP.,,,,,,
trial,[Noble] Innocent,Add [red]Regret[/red] to your Deck. Gain 300 Gold.,,Regret,,,,
trial,[Nondescript] Guilty,Add [red]Doubt[/red] to your Deck. Get 2 card rewards (3 cards each).,,Doubt,,,,
trial,[Nondescript] Innocent,Add [red]Doubt[/red] to your Deck. Transform 2 cards.,,Doubt,,,,
brain_leech,Rip the Leech Off,Lose [red]5[/red] HP. Gain a Colorless card reward.,,,,,,
brain_leech,Share Knowledge,Choose [blue]1[/blue] of [blue]5[/blue] random cards to add to your [gold]Deck[/gold].,,,,,,
crystal_sphere,Payment Plan,Gain a [red]Debt[/red]. [purple]Divine[/purple] [blue]6[/blue] times.,,"Debt, Doubt",,,,
crystal_sphere,Uncover Future,Pay [red]51-99[/red] [gold]Gold[/gold]. [purple]Divine[/purple] [blue]3[/blue] times.,,,,,,
doll_room,Pick at Random,Obtain a random [gold]Doll Relic[/gold].,,,,,,
doll_room,Take Some Time,Lose [red]5[/red] HP. Choose [blue]1[/blue] of [blue]2[/blue] [gold]Doll Relics[/gold].,,,,,,
doll_room,Examine Each and Make the Best Choice,Lose [red]15[/red] HP. Choose [blue]1[/blue] of [blue]3[/blue] [gold]Doll Relics[/gold].,,,,,"daughter_of_the_wind, bing_bong, mr_struggles",
fake_merchant,Anchor???,Start each combat with 4 Block. (50 Gold),,,,foul_potion,fake_anchor,
fake_merchant,Blood Vial???,"At the start of each combat, heal 1 HP. (50 Gold)",,,,,fake_blood_vial,
fake_merchant,Happy Flower???,"Every 5 turns, gain 1 energy. (50 Gold)",,,,,fake_happy_flower,
fake_merchant,Lee's Waffle???,"Upon pickup, heal 10% of your HP. (50 Gold)",,,,,fake_lees_waffle,
fake_merchant,Mango???,"Upon pickup, raise your Max HP by 3. (50 Gold)",,,,,fake_mango,
fake_merchant,Orichalcum???,"If you end your turn without Block, gain 3 Block. (50 Gold)",,,,,fake_orichalcum,
fake_merchant,Snecko Eye???,Start each combat Confused. (50 Gold),,,,,fake_snecko_eye,
fake_merchant,Strike Dummy???,"Cards containing ""Strike"" deal 1 additional damage. (50 Gold)",,,,,fake_strike_dummy,
fake_merchant,Venerable Tea Set???,"Whenever you enter a Rest Site, start the next combat with an additional energy. (50 Gold)",,,,,"fake_venerable_tea_set,fake_merchants_rug",
potion_courier,Grab Potions,Procure [blue]3[/blue] [gold]Foul Potions[/gold].,,,,foul_potion,,
potion_courier,Ransack,Procure [blue]1[/blue] random [gold]Uncommon Potion[/gold].,,,,,,
ranwid_the_elder,Give 100 Gold,Obtain a random Relic.,,,,,,
ranwid_the_elder,Give Potion,Obtain a random Relic.,,,,,,
ranwid_the_elder,Give Relic,Obtain 2 random Relics.,,,,,,
relic_trader,Take the Bottom One,Trade one of your [gold]Relics[/gold] for a random [gold]Relic[/gold].,,,,,,
relic_trader,Take the Middle One,Trade one of your [gold]Relics[/gold] for a random [gold]Relic[/gold].,,,,,,
relic_trader,Take the Top One,Trade one of your [gold]Relics[/gold] for a random [gold]Relic[/gold].,,,,,,
room_full_of_cheese,Gorge,Choose [blue]2[/blue] of [blue]8[/blue] random [gold]Common[/gold] cards to add to your [gold]Deck[/gold].,,,,,,
room_full_of_cheese,Search,Lose [red]14[/red] HP. Obtain the [gold]Chosen Cheese[/gold].,,,,,chosen_cheese,
self_help_book,Read the Entire Book,Choose a Power to [gold]Enchant[/gold] with [purple]Swift[/purple] [blue]2[/blue].,,,swift,,,
self_help_book,Read a Random Passage,Choose a Skill to [gold]Enchant[/gold] with [purple]Nimble[/purple] [blue]2[/blue].,,,nimble,,,
self_help_book,Read the Back,Choose an Attack to [gold]Enchant[/gold] with [purple]Sharp[/purple] [blue]2[/blue].,,,sharp,,,
slippery_bridge,Overcome,A random card is removed from your [gold]Deck[/gold].,Initially excludes Basic rarity cards.,,,,,
slippery_bridge,Hold On,Lose [red]3[/red] HP (increases by 1 each time). The Overcome card is re-randomized.,,,,,,
stone_of_all_time,Drink and Lift,Lose a random [red]Potion[/red]. Gain [blue]10[/blue] Max HP.,The specific potion is named in the option text.,,,,,
stone_of_all_time,Push,Lose [red]6[/red] HP. [gold]Enchant[/gold] an Attack with [purple]Vigorous[/purple] [blue]8[/blue].,,,vigorous,,,vigor
symbiote,Approach,[gold]Enchant[/gold] an Attack with [purple]Corrupted[/purple].,,,corrupted,,,
symbiote,Kill with Fire,Choose a card to [gold]Transform[/gold].,,,,,,
tea_master,Bone Tea,Pay [red]50[/red] [gold]Gold[/gold]. Obtain [gold]Bone Tea[/gold].,,,,,bone_tea,
tea_master,Ember Tea,Pay [red]150[/red] [gold]Gold[/gold]. Obtain [gold]Ember Tea[/gold].,,,,,ember_tea,
tea_master,Tea of Discourtesy,Obtain [gold]Tea of Discourtesy[/gold].,Free (no gold cost).,,,,tea_of_discourtesy,
the_future_of_potions,Insert Potion,Lose a Potion. Choose 1 of 3 upgraded cards of matching rarity.,Card type is random (Attack/Skill/Power).,,,,,
the_legends_were_true,Nab the Map,Receive the [gold]Spoils Map[/gold].,,Spoils Map,,,,
the_legends_were_true,Slowly Find an Exit,Lose [red]8[/red] HP. Procure [blue]1[/blue] random [gold]Potion[/gold].,,,,,,
this_or_that,This,Lose [red]6[/red] HP. Gain [blue]41-68[/blue] [gold]Gold[/gold].,,,,,,
this_or_that,That,Add [red]Clumsy[/red] to your [gold]Deck[/gold]. Obtain a random [gold]Relic[/gold].,,Clumsy,,,,
war_historian_repy,Unlock the Cage,Lose [gold]Lantern Key[/gold]. Obtain [gold]History Course[/gold].,,,,,history_course,
war_historian_repy,Unlock the Chest,Lose [gold]Lantern Key[/gold]. Procure [blue]2[/blue] random [gold]Potions[/gold]. Obtain [blue]2[/blue] random [gold]Relics[/gold].,,,,,,
welcome_to_wongos,Wongo's Bargain Bin,Pay [red]100[/red] [gold]Gold[/gold]. Obtain [blue]1[/blue] random [gold]Common Relic[/gold].,,,,,,
welcome_to_wongos,Wongo's Featured Item,Pay [red]200[/red] [gold]Gold[/gold]. Obtain a random [gold]Rare Relic[/gold].,,,,,,
welcome_to_wongos,Wongo's Mystery Box,Pay [red]300[/red] [gold]Gold[/gold]. Obtain [blue]3[/blue] random [gold]Relics[/gold] after 5 combats.,,,,,,
welcome_to_wongos,Leave,[red]Downgrade[/red] a random card.,,,,,,
