Enemy,Move,Effects,References,Intent,Notes
frog-knight,Strike Down Evil,Damage 21 (23),,attack,
frog-knight,For the Queen,Gain 5 {strength},,buff,
frog-knight,Beetle Charge,Damage 35 (40),,attack,Can only be used once.
fuzzy-wurm-crawler,Acid Goop,Damage 4 (6),,attack,
fuzzy-wurm-crawler,Inhale,Gain 7 {strength},,buff,
globe-head,Shocking Slap,Damage 13 (14); Apply 2 {frail},,"attack, debuff",
globe-head,Thunder Strike,Damage 6x3 (7x3),,multi_attack,
globe-head,Galvanic Burst,Damage 16 (17); Gain 2 {strength},,"attack, buff",
gremlin-merc,Gimme,Damage 7x2 (8x2),,multi_attack,
gremlin-merc,Double Smash,Damage 6x2 (7x2); Apply 2 {weak},,"multi_attack, debuff",
gremlin-merc,Hehe,Damage 8 (9); Gain 2 {strength},,"attack, buff",
fat-gremlin,Stunned,Stunned for one turn,,stun,
fat-gremlin,Flee,Escape from combat,,escape,
sneaky-gremlin,Stunned,Stunned for one turn,,stun,
sneaky-gremlin,Tackle,Damage 9 (10),,attack,
haunted-ship,Haunt,Apply 3 {weak}; Add 5 Dazed to Discard,dazed,"debuff, add_statuses",
haunted-ship,Swipe,Damage 13 (14),,attack,
haunted-ship,Stomp,Damage 4x3 (5x3),,multi_attack,
hunter-killer,Tenderizing Goop,Apply {tender},,debuff,
hunter-killer,Bite,Damage 17 (19),,attack,Cannot repeat.
hunter-killer,Puncture,Damage 7x3 (8x3),,multi_attack,Max 2 in a row.
inklet,Jab,Damage 3 (4),,attack,
inklet,Whirlwind,Damage 2x3 (3x3),,multi_attack,
inklet,Piercing Gaze,Damage 10 (11),,attack,
leaf-slime-small,Tackle,Damage 3 (4),,attack,
leaf-slime-small,Goop,Add 1 Slimed to Discard,slimed,add_statuses,
leaf-slime-medium,Sticky Shot,Add 2 Slimed to Discard,slimed,add_statuses,
leaf-slime-medium,Clump Shot,Damage 8 (9),,attack,
living-fog,Advanced Gas,Damage 8 (9); Apply {smoggy},,"attack, affliction",
living-fog,Bloat,Summon 1 Gas Bomb,,summon,
living-fog,Super Gas Blast,Damage 8 (9),,attack,
gas-bomb,Explode,Damage 8 (9); Dies,,deathblow,
living-shield,Shield Slam,Damage 6,,attack,
living-shield,Smash,Damage 16 (18); Gain 3 {strength},,"attack, buff",
louse-progenitor,Web Cannon,Damage 9 (10); Apply 2 {frail},,"attack, debuff",
louse-progenitor,Curl and Grow,{block} 14 (18); Gain 5 {strength},,"block, buff",
louse-progenitor,Pounce,Damage 14 (16),,attack,
mawler,Claw,Damage 4x2 (5x2),,multi_attack,Cannot repeat.
mawler,Rip & Tear,Damage 14 (16),,attack,Cannot repeat.
mawler,Roar,Apply 3 {vulnerable},,debuff,Can only be used once.
myte,Toxic,Add 2 Toxic to Hand,toxic,add_statuses,
myte,Bite,Damage 13 (15),,attack,
myte,Suck,Damage 4 (6); Gain 2 (3) {strength},,"attack, buff",
nibbit,Butt,Damage 12 (13),,attack,
nibbit,Slice,Damage 6 (7); {block} 5 (6),,"attack, block",
nibbit,Hiss,{strength} 2 (3),,buff,
ovicopter,Lay Eggs,Summon up to 3 Tough Eggs,,summon,
ovicopter,Smash,Damage 16 (17),,attack,
ovicopter,Tenderizer,Damage 7 (8); Apply 2 {vulnerable},,"attack, debuff",
ovicopter,Nutritional Paste,Gain 3 (4) {strength},,buff,
tough-egg,Hatch,Hatches into Hatchling.,,buff,
hatchling,Nibble,Damage 4 (5),,attack,
owl-magistrate,Magistrate Scrutiny,Damage 16 (17),,attack,
owl-magistrate,Peck Assault,Damage 4x6,,multi_attack,
owl-magistrate,Judicial Flight,Gain {soar},,buff,
owl-magistrate,Verdict,Damage 33 (36); Apply 4 {vulnerable}; Lose {soar},,"attack, debuff",
punch-construct,Ready,{block} 10,,block,
punch-construct,Strong Punch,Damage 14 (16),,attack,
punch-construct,Fast Punch,Damage 5x2 (6x2); Apply 1 {frail},,"multi_attack, debuff",
ruby-raider-assassin,Killshot,Damage 10 (11),,attack,
ruby-raider-axe,Swing,Damage 5 (6); {block} 5 (6),,"attack, block",
ruby-raider-axe,Big Swing,Damage 12 (13),,attack,
ruby-raider-brute,Beat,Damage 7 (8),,attack,
ruby-raider-brute,Roar,Gain 3 {strength},,buff,
ruby-raider-crossbow,Reload,{block} 3,,block,
ruby-raider-crossbow,Fire,Damage 14 (16),,attack,
ruby-raider-tracker,Track,Apply 2 {frail},,debuff,
ruby-raider-tracker,Hounds,Damage 1x8 (1x9),,multi_attack,
scroll-of-biting,Chomp,Damage 14 (16),,attack,
scroll-of-biting,More Teeth,Gain 2 {strength},,buff,
scroll-of-biting,Chew,Damage 5x2 (6x2),,multi_attack,
seapunk,Sea Kick,Damage 11 (13),,attack,
seapunk,Spinning Kick,Damage 2x4,,multi_attack,
seapunk,Bubble Burp,{block} 7 (8); Gain 1 (2) {strength},,"block, buff",
sewer-clam,Jet,Damage 10 (11),,attack,
sewer-clam,Pressurize,{strength} 4,,buff,
shrinker-beetle,Shrinker,Apply {shrink},,debuff,
shrinker-beetle,Chomp,Damage 7 (8),,attack,
shrinker-beetle,Stomp,Damage 13 (14),,attack,
slimed-berserker,Vomit Ichor,Add 10 Slimed to discard,slimed,add_statuses,
slimed-berserker,Furious Pummeling,Damage 4x4 (5x4),,multi_attack,
slimed-berserker,Leeching Hug,Apply 3 {weak}; Gain 3 {strength},,"buff, debuff",
slimed-berserker,Smother,Damage 30 (33),,attack,
slithering-strangler,Constrict,Apply 3 {constrict},,affliction,
slithering-strangler,Thwack,Damage 7 (8); {block} 5,,"attack, block",
slithering-strangler,Lash,Damage 12 (13),,attack,
sludge-spinner,Oil Spray,Damage 8 (9); {weak} 1,,"attack, debuff",Cannot repeat.
sludge-spinner,Slam,Damage 11 (12),,attack,Cannot repeat.
sludge-spinner,Rage,Damage 6 (7); {strength} 3,,"attack, buff",Cannot repeat.
slumbering-beetle,Sleep,Passes Turn,,sleeping,
slumbering-beetle,Roll Out,Damage 16 (18); Gain 2 {strength},,"attack, buff",
snapping-jaxfruit,Energy Orb,Damage 3 (4); Gain 2 {strength},,"attack, buff",
spiny-toad,Protruding Spikes,Gain 5 {thorns},,buff,
spiny-toad,Spike Explosion,Damage 23 (25); Lose 5 {thorns},,attack,
spiny-toad,Tongue Lash,Damage 17 (19),,attack,
the-lost,Debilitating Smog,Apply -2 {strength}; Gain 2 {strength},,"buff, debuff",
the-lost,Eye Lasers,Damage 4x2 (5x2),,multi_attack,
the-forgotten,Miasma,Apply -2 {dexterity}; {block} 8; Gain 2 {dexterity},,"block, buff, debuff",
the-forgotten,Dread,Damage 13 (15) + stolen {dexterity},,attack,
the-obscura,Illusion,Summon 1 Parafright,,summon,
the-obscura,Piercing Gaze,Damage 10 (11),,attack,Cannot repeat.
the-obscura,Wail,Allies gain 3 {strength},,buff,Cannot repeat.
the-obscura,Hardening Strike,Damage 6 (7); {block} 6 (7),,"attack, block",Cannot repeat.
parafright,Slam,Damage 16 (17),,attack,
thieving-hopper,Thievery,Damage 17 (19); Steal 1 card and gain {swipe},,"attack, affliction",
thieving-hopper,Flutter,Gain {flutter} 5,,buff,
thieving-hopper,Hat Trick,Damage 21 (23),,attack,
thieving-hopper,Nab,Damage 14 (16),,attack,
thieving-hopper,Escape,Escape from the combat,,escape,
toadpole,Whirl,Damage 7 (8),,attack,
toadpole,Spiken,Gain 2 {thorns},,buff,
toadpole,Spike Spit,Damage 3x3 (4x3); Lose 2 {thorns},,multi_attack,
tunneler,Bite,Damage 13 (15),,attack,
tunneler,Burrow,Gain {burrowed}; {block} 32 (37),,"block, buff",
tunneler,Below,Damage 23 (26),,attack,
turret-operator,Unload,Damage 3x5 (4x5),,multi_attack,
turret-operator,Reload,Gain 1 {strength},,buff,
twig-slime-small,Tackle,Damage 4 (5),,attack,
twig-slime-medium,Sticky Shot,Add 1 Slimed to Discard,slimed,add_statuses,Cannot repeat.
twig-slime-medium,Clump Shot,Damage 11 (12),,attack,Max 2 in a row.
two-tailed-rat,Scratch,Damage 8 (9),,attack,Cannot repeat.
two-tailed-rat,Disease Bite,Damage 6 (7),,attack,Cannot repeat.
two-tailed-rat,Screech,Apply 1 {frail},,debuff,3-turn cooldown.
two-tailed-rat,Call for Backup,Summon Two-Tailed Rat; (with random intent),,summon,Can only be used once per rat. Requires 2 turns before available.
vine-shambler,Swipe,Damage 6x2 (7x2),,multi_attack,
vine-shambler,Grasping Vines,Damage 8 (9); Apply 1 {tangled},,"attack, affliction",
vine-shambler,Chomp,Damage 16 (18),,attack,
wriggler,Nasty Bite,Damage 6 (7),,attack,
wriggler,Wriggle,Add 1 Infection to Discard; Gain 2 {strength},infection,"buff, add_statuses",
bygone-effigy,Sleep,Pass Turn,,sleeping,
bygone-effigy,Wake,Gain 10 {strength},,buff,
bygone-effigy,Slash,Damage 13 (15),,attack,
byrdonis,Swoop,Damage 17 (19),,attack,
byrdonis,Peck,Damage 3x3 (4x3),,multi_attack,
decimillipede,Constrict,Damage 8 (9); Apply 1 {weak},,"attack, debuff",
decimillipede,Bulk,Damage 6 (7); Gain 2 {strength},,"attack, buff",
decimillipede,Writhe,Damage 5x2 (6x2),,multi_attack,
entomancer,Bees,Damage 3x7 (3x8),,multi_attack,
entomancer,Spear,Damage 18 (20),,attack,
entomancer,Pheromone Spit,Gain 1 {personal_hive} and 1 {strength},dazed,buff,"After reaching 3 stacks of Personal Hive, instead only gains 2 strength."
infested-prism,Jab,Damage 15 (17),,attack,
infested-prism,Radiate,Damage 11 (13); {block} 11 (13),,"attack, block",
infested-prism,Whirlwind,Damage 5x3 (6x3),,multi_attack,
infested-prism,Pulsate,Damage 8 (10); {block} 20 (22); Gain 2 (3) {vital_spark},,"attack, buff, block",
flail-knight,Ram,Damage 15 (17),,attack,Max 2 in a row.
flail-knight,War Chant,Gain 3 {strength},,buff,Cannot repeat.
flail-knight,Flail,Damage 9x2 (10x2),,multi_attack,Max 2 in a row.
spectral-knight,Hex,Apply {hex},,debuff,
spectral-knight,Soul Slash,Damage 15 (17),,attack,Max 2 in a row.
spectral-knight,Soul Flame,Damage 3x3 (4x3),,multi_attack,Cannot repeat.
magi-knight,Power Shield,Damage 6 (7); {block} 5 (9),,"attack, block",
magi-knight,Dampen,Apply {dampen},,debuff,
magi-knight,Spear,Damage 10 (11),,attack,
magi-knight,Prep,{block} 5 (9),,block,
magi-knight,Magic Bomb,Damage 35 (40),,attack,
mecha-knight,Charge,Damage 25 (30),,attack,
mecha-knight,Flamethrower,Add 4 Burns to Hand,burn,add_statuses,
mecha-knight,Windup,{block} 15; {strength} 5,,"block, buff",
mecha-knight,Heavy Cleave,Damage 35 (40),,attack,
phantasmal-gardener,Bite,Damage 5,,attack,
phantasmal-gardener,Lash,Damage 7,,attack,
phantasmal-gardener,Flail,Damage 1x3,,multi_attack,
phantasmal-gardener,Enlarge,{strength} 2 (3),,buff,
phrog-parasite,Infect,Add 3 Infection to Discard,infection,add_statuses,
phrog-parasite,Lash,Damage 4x4 (5x4),,multi_attack,
skulking-colony,Zoom,Damage 14 (16),,attack,
skulking-colony,Inertia,Damage 9 (11); Gain 2 (4) {strength},,"attack, buff",
skulking-colony,Piercing Stabs,Damage 7x2 (8x2),,multi_attack,
soul-nexus,Soul Burn,Damage 29 (31),,attack,Cannot repeat.
soul-nexus,Maelstrom,Damage 6x4 (7x4),,multi_attack,Cannot repeat.
soul-nexus,Drain Life,Damage 18 (19); Apply 2 {vulnerable}; Apply 2 {weak},,"attack, debuff",Cannot repeat.
terror-eel,Crash,Damage 16 (18),,attack,
terror-eel,Thrash,Damage 3x3 (4x3); Gain 6 {vigor},,"multi_attack,buff",
terror-eel,Terror,Apply 99 {vulnerable},,debuff,
ceremonial-beast,Stamp,Gains {plow} 150 (160),,buff,
ceremonial-beast,Plow,Damage 18 (20); Gains 2 {strength},,attack,
ceremonial-beast,Beast Cry,Apply {ringing},,debuff,
ceremonial-beast,Stomp,Damage 15 (17),,attack,
ceremonial-beast,Crush,Damage 17 (19); Gains 3 (4) {strength},,attack,
aeonglass,Ebb,Damage 22 (26); {block} 33,,"attack, block",
aeonglass,Eye Lasers,Damage 11x2 (12x2),,multi_attack,
aeonglass,Increasing Intensity,Gain 3 (4)+ {strength}; Add 1 (2) Wither to Discard,wither,"buff, add_statuses",Increases Wither damage by 3 each use.
crusher,Thrash,Damage 12 (14),,attack,
crusher,Enlarging Strike,Damage 4,,attack,
crusher,Bug Sting,Damage 6x2 (7x2); Apply 2 {weak}; Apply 2 {frail},,"multi_attack, debuff",
crusher,Adapt,Gain 2 (3) {strength},,buff,
crusher,Guarded Strike,Damage 12 (14); {block} 18,,"attack, block",
rocket,Targeting Reticle,Damage 3 (4),,attack,
rocket,Precision Beam,Damage 18 (20),,attack,
rocket,Charge Up,{strength} 2 (3),,buff,
rocket,Laser,Damage 31 (35),,attack,
rocket,Recharge,Pass turn,,sleeping,
knowledge-demon,Curse of Knowledge,Player must choose one of two debuffs:; 1st choice: {disintegration} 6 or {mind_rot}; 2nd choice: {disintegration} 7 or {sloth}; 3rd Choice: {disintegration} 8 or {waste_away},,debuff,
knowledge-demon,Slap,Damage 17 (18),,attack,
knowledge-demon,Knowledge Overwhelming,Damage 8x3 (9x3),,multi_attack,
knowledge-demon,Ponder,Damage 11 (13); Heal 30*; Gain 2 (3) {strength},,"attack, heal, buff",
lagavulin-matriarch,Slash,Damage 19 (21),,attack,
lagavulin-matriarch,Disembowel,Damage 9x2 (10x2),,multi_attack,
lagavulin-matriarch,Slash 2,Damage 12 (14); {block} 12 (14),,"attack, block",
lagavulin-matriarch,Soul Siphon,Apply -2 {strength}; Apply -2 {dexterity}; Gain 2 {strength},,"buff, debuff",
queen,Puppet Strings,Apply {chains_of_binding} 3,,affliction,
queen,You Are Mine!,Apply 99 {frail}; Apply 99 {weak}; Apply 99 {vulnerable},,debuff,
queen,Burn Bright For Me,Give allies 1 {strength}; {block} 20,,"buff, block",
queen,Off With Your Head,Damage 3x5 (4x5),,multi_attack,
queen,Execution,Damage 15 (18),,attack,
queen,Enrage,Gain 2 {strength},,buff,
torch-head-amalgam,Strong Tackle,Damage 26 (32),,attack,
torch-head-amalgam,Tackle,Damage 18 (22),,attack,
torch-head-amalgam,Soul Beam,Damage 8x3,,multi_attack,
torch-head-amalgam,Weak Tackle,Damage 14 (16),,attack,
soul-fysh,Beckon,Shuffle 1 Beckon into draw; Shuffle 1 Beckon into discard,beckon,add_statuses,
soul-fysh,De-Gas,Damage 16 (17),,attack,
soul-fysh,Gaze,Damage 7 (8); Shuffle 1 Beckon into discard,beckon,"attack, add_statuses",
soul-fysh,Fade,Gain 2* Intangible,,buff,
soul-fysh,Scream,Damage 13 (15); Apply 3 {vulnerable},,"attack, debuff",
test-subject-stage-1,Bite,Damage 20 (22),,attack,
test-subject-stage-1,Skull Bash,Damage 14 (16); Apply 1 {vulnerable},,"attack, debuff",
test-subject-stage-2,Multi-Claw,Damage 10xN (11xN); (N = 3 + # times Multi-Claw has been used),,multi_attack,
test-subject-stage-3,Lacerate,Damage 10x3 (11x3),,multi_attack,
test-subject-stage-3,Big Pounce,Damage 45,,attack,
test-subject-stage-3,Burning Growl,Shuffle 3 (5) Burns into discard; Gain 2 (3) {strength},burn,buff,
the-insatiable,Liquify Ground,Gain {sandpit} 4; Shuffle 3 Frantic Escapes into draw; Shuffle 3 Frantic Escapes into discard,frantic_escape,"buff, add_statuses",
the-insatiable,Thrash,Damage 8x2 (9x2),,multi_attack,
the-insatiable,Lunging Bite,Damage 28 (31),,attack,
the-insatiable,Salivate,Gain 2 (3) {strength},,buff,
kin-priest,Orb of Frailty,Damage 8 (9); Apply 1 {frail},,"attack, debuff",
kin-priest,Orb of Weakness,Damage 8 (9); Apply 1 {weak},,"attack, debuff",
kin-priest,Beam,Damage 3x3,,multi_attack,
kin-priest,Ritual,Gain 2 (3) {strength},,buff,
kin-follower,Quick Slash,Damage 5,,attack,
kin-follower,Boomerang,Damage 2x2,,multi_attack,
kin-follower,Power Dance,Gain 2 (3) {strength},,buff,
vantom,Ink Blot,Damage 7 (8),,attack,
vantom,Inky Lance,Damage 6x2 (7x2),,multi_attack,
vantom,Dismember,Damage 26 (30); Add 3 Wounds into discard,wound,"attack, add_statuses",
vantom,Prepare,Gain 2 {strength},,buff,
waterfall-giant,Pressurize,Gain 15 (20) {steam_eruption},,buff,
waterfall-giant,Stomp,Damage 15 (16); Apply 1 {weak}; Gain 3 {steam_eruption},,"attack, debuff, buff",
waterfall-giant,Ram,Damage 10 (11); Gain 3 {steam_eruption},,"attack, buff",
waterfall-giant,Siphon,Heal 10 (15)*; Gain 3 {steam_eruption},,"heal, buff",
waterfall-giant,Pressure Gun,Damage 20 (23) + 5*N; N = # of times this move was used; Gain 3 {steam_eruption},,"attack, buff",
waterfall-giant,Pressure Up,Damage 13 (14); Gain 3 {steam_eruption},,"attack, buff",
